"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\sidebar\sidebar.component.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\create-tenent\create-tenent.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\create-tenent\create-tenent.component.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 68, 20, 188
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\create-tenent\create-tenent.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 76
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\suscripcion\suscripcion.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\suscripcion\suscripcion.component.html", "HTML", 0, 0, 0, 0, 136, 0, 0, 0, 66, 24, 226
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\tenent\suscripcion\suscripcion.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\topbar\topbar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\topbar\topbar.component.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 24, 4, 71
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\topbar\topbar.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\create-usuario\create-usuario.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\create-usuario\create-usuario.component.html", "HTML", 0, 0, 0, 0, 98, 0, 0, 0, 58, 17, 173
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\create-usuario\create-usuario.component.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 13, 81
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\edit-usuario\edit-usuario.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\edit-usuario\edit-usuario.component.html", "HTML", 0, 0, 0, 0, 98, 0, 0, 0, 58, 16, 172
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\edit-usuario\edit-usuario.component.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\index-usuario\index-usuario.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\index-usuario\index-usuario.component.html", "HTML", 0, 0, 0, 0, 204, 0, 0, 0, 53, 28, 285
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\usuarios\index-usuario\index-usuario.component.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 16, 101
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\detalles-ventas\detalles-ventas.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\detalles-ventas\detalles-ventas.component.html", "HTML", 0, 0, 0, 0, 195, 0, 0, 0, 56, 41, 292
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\detalles-ventas\detalles-ventas.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\detalles-ventas\detalles-ventas.component.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 1, 24, 129
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\index-ventas\index-ventas.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\index-ventas\index-ventas.component.html", "HTML", 0, 0, 0, 0, 124, 0, 0, 0, 42, 34, 200
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\index-ventas\index-ventas.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ventas\index-ventas\index-ventas.component.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 1, 29, 147
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\guards\auth.guard.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\GLOBAL.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\estadistica.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\services\ingreso.service.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 12, 49
